Neighborhood,Street Address,City,State,Zipcode,Latitude,Longitude,Property Type,Lot Size (Sq.Ft.),Finished Size (Sq.Ft.),Rent Amount,Rent-to-Finished Size Ratio,Year Built,Bathroom,Bedrooms,Total Rooms,ZPID
Duquesne Heights,1700 Grandview Ave APT 802,Pittsburgh,PA,15211,40.440977,-80.024997,Condominium,1411,1411,2342,1.66,1817,2,2,6,11585170
Southside Slopes,103 Brosville St,Pittsburgh,PA,15203,40.424783,-79.985837,SingleFamily,6534,1440,1364,0.95,1848,2,3,4,11475164
Southside Flats,1929 Sidney St,Pittsburgh,PA,15203,40.429698,-79.977926,SingleFamily,5000,2400,2400,1,1862,2,3,8,11290824
Point Breeze,7725 Abbott St,Pittsburgh,PA,15221,40.441908,-79.894637,SingleFamily,5000,2372,1819,0.77,1875,1.5,3,8,11341919
Central Northside,1525 Garfield Ave,Pittsburgh,PA,15212,40.458108,-80.012692,SingleFamily,1960,2080,2100,1.01,1880,2.5,4,8,11387675
Central Northside,1409 Monterey St,Pittsburgh,PA,15212,40.456776,-80.013623,SingleFamily,1190,1284,1263,0.98,1880,1,2,4,11388193
Mount Washington,322 Arlington Ave,Pittsburgh,PA,15203,40.428614,-79.997824,MultiFamily2To4,4140,3225,1692,0.52,1880,2.5,6,10,11474210
Central Lawrenceville,342 Service Way,Pittsburgh,PA,15201,40.469184,-79.955728,SingleFamily,1000,1020,1075,1.05,1880,1,2,4,11513647
Mount Washington,7 Norton St,Pittsburgh,PA,15211,40.427185,-80.00945,SingleFamily,2200,1152,1132,0.98,1880,2,2,5,11516249
Chartiers City,1450 Isoline St,Pittsburgh,PA,15204,40.455648,-80.072071,SingleFamily,5500,1707,962,0.56,1880,1,3,8,11592640
Central Lawrenceville,117 47th St,Pittsburgh,PA,15201,40.47585,-79.960391,SingleFamily,906,966,1017,1.05,1880,1,2,5,11613174
Mount Washington,332 Merrimac St,Pittsburgh,PA,15211,40.430634,-80.014175,SingleFamily,5201,2277,1528,0.67,1880,3.5,4,8,121886464
Marshall - Shadeland,3147 Brighton Rd,Pittsburgh,PA,15212,40.474984,-80.030128,MultiFamily2To4,1815,3220,879,0.27,1881,2,5,12,11605934
Highland Park,5807 Stanton Ave,Pittsburgh,PA,15206,40.470528,-79.92264,SingleFamily,5720,3400,1412,0.42,1883,2.5,7,10,11622443
East Liberty,739 N Beatty St,Pittsburgh,PA,15206,40.469462,-79.922702,SingleFamily,2333,2612,1401,0.54,1886,2.5,4,7,11622941
Southside Flats,1806 Wharton St,Pittsburgh,PA,15203,40.430297,-79.980018,SingleFamily,2400,1232,1709,1.39,1890,2,2,6,11290680
Arlington,2926 Arlington Ave,Pittsburgh,PA,15210,40.417009,-79.966531,SingleFamily,7510,1986,917,0.46,1890,2,3,6,11308743
Mount Washington,635 Boggs Ave,Pittsburgh,PA,15211,40.420584,-80.010436,SingleFamily,4777,1528,1120,0.73,1890,2,3,6,11323965
Central Lawrenceville,217 42nd St,Pittsburgh,PA,15201,40.470098,-79.959945,Townhouse,538,1456,1049,0.72,1890,2.5,3,5,11512846
Bloomfield,311 S Evaline St,Pittsburgh,PA,15224,40.461797,-79.941318,SingleFamily,3638,2910,2319,0.8,1890,3.5,4,8,11524321
Shadyside,5922 Howe St APT 302,Pittsburgh,PA,15232,40.452696,-79.925589,Condominium,1402,1402,2423,1.73,1890,2,2,4,11628808
Marshall - Shadeland,1025 Smithton Ave,Pittsburgh,PA,15212,40.473932,-80.025917,SingleFamily,10693,952,823,0.86,1891,1,2,5,11606390
Bloomfield,364 S Atlantic Ave,Pittsburgh,PA,15224,40.460181,-79.939587,MultiFamily2To4,8000,4763,1789,0.38,1894,,0,11,11524380
Shadyside,628 S Aiken Ave,Pittsburgh,PA,15232,40.451782,-79.936567,SingleFamily,6805,3996,3371,0.84,1895,2.5,4,9,11528792
Lincoln Place,1147 Rodgers St,Pittsburgh,PA,15207,40.368206,-79.915657,MultiFamily2To4,4091,1296,846,0.65,1896,,0,7,11351937
Point Breeze,528 Hastings St,Pittsburgh,PA,15206,40.448699,-79.915604,SingleFamily,2400,1640,2138,1.3,1897,1.5,4,6,11287530
Central Lawrenceville,137 46th St,Pittsburgh,PA,15201,40.474345,-79.960679,SingleFamily,700,1200,1227,1.02,1898,2,2,5,11613397
Shadyside,5927 Howe St APT B3,Pittsburgh,PA,15232,40.453201,-79.925623,Condominium,725,722,1229,1.7,1898,1,1,2,11625410
Mount Washington,300 Cola St,Pittsburgh,PA,15203,40.429335,-80.001514,SingleFamily,7463,1586,2231,1.41,1899,3,3,6,11515913
Brighton Heights,1022 Lapish Rd,Pittsburgh,PA,15212,40.487702,-80.030126,SingleFamily,8721,2123,1374,0.65,1900,3.5,3,6,11269762
Upper Lawrenceville,205 54th St,Pittsburgh,PA,15201,40.482588,-79.950557,SingleFamily,1742,1918,1186,0.62,1900,2,3,8,11272814
Homewood North,1114 Lincoln Ave,Pittsburgh,PA,15206,40.464311,-79.899545,SingleFamily,2613,1218,861,0.71,1900,2,4,6,11285514
Southside Flats,1712 Fox Way,Pittsburgh,PA,15203,40.43005,-79.981325,SingleFamily,1200,2084,2025,0.97,1900,1.5,3,6,11290548
Southside Flats,1817 Wharton St,Pittsburgh,PA,15203,40.430701,-79.979665,SingleFamily,945,1130,1741,1.54,1900,2,3,6,11290620
Southside Flats,2321 Wrights Way,Pittsburgh,PA,15203,40.42886,-79.971986,SingleFamily,833,1092,1430,1.31,1900,2,3,5,11290879
Southside Flats,109 S 17th St,Pittsburgh,PA,15203,40.428121,-79.981948,SingleFamily,1440,2640,1932,0.73,1900,1,2,10,11290953
Southside Flats,97 S 19th St,Pittsburgh,PA,15203,40.428295,-79.97898,SingleFamily,743,1644,1821,1.11,1900,2,4,10,11291140
Southside Flats,99 S 19th St,Pittsburgh,PA,15203,40.428257,-79.978984,SingleFamily,673,1148,1525,1.33,1900,3,3,8,11291141
Southside Flats,1926 Larkins Way,Pittsburgh,PA,15203,40.427141,-79.978247,SingleFamily,1200,1028,1397,1.36,1900,1,2,8,11291338
